"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,408.73086628428797,-2713.24411254668,41774.0356260439,-891644.7506611118,-81081.94078501353,-1273282.0413416573
1000.0,154.93103791808608,-1643.5827707327626,27025.345296326417,-892635.2267286802,-81636.88391841238,-1280548.4436719948
1500.0,174.61113053653418,-867.0979119947458,15249.706496541357,-889053.008268873,-81624.77855284975,-1280572.5083155138
2000.0,199.61028448139916,-92.28749332871422,3676.1106317231474,-885418.1975294433,-81613.00910610419,-1280581.4651592139
2500.0,209.1357041697007,672.1142168087384,-7678.188548780796,-881704.6516099992,-81595.87780407218,-1280478.6280893902
3000.0,205.93013688377442,1449.2844766586325,-19231.89109691216,-877777.4284248914,-81569.87937614448,-1280184.1109931993
3500.0,187.77102898863694,2238.6016852276252,-30950.276392090465,-873607.992784736,-81533.9013366653,-1279659.6305575494
4000.0,151.02835561622013,3035.9447891222303,-42760.00159471446,-869196.8820532975,-81487.58503666427,-1278878.0952932541
4500.0,97.55073920251007,3835.226127260672,-54567.833771180856,-864594.0431261063,-81431.10903223735,-1277867.7960094183
5000.0,29.03466466319982,4629.149372172246,-66280.91779812424,-859855.3957276815,-81365.40999593023,-1276656.79358579
5500.0,-52.22306745830359,5407.535954107271,-77769.23712996698,-855054.5746698948,-81291.67975882847,-1275269.0764617114
6000.0,-141.5546773121599,6148.654585317265,-88753.2710295264,-850344.5707434335,-81211.296456114,-1273750.841503689
6500.0,-227.55297530049472,6813.99083074754,-98777.26840874525,-845986.1627415593,-81127.68309222395,-1272218.216200477
7000.0,-285.655145579947,7274.881045332596,-106152.18206480292,-842728.9678601399,-81052.95601267158,-1270926.8543457014
7500.0,-262.82289384725294,7314.300236899831,-108120.17111273562,-841794.842256691,-81007.21453159227,-1270230.6114243453
8000.0,-60.36228906482765,6837.219147053543,-102542.06052164608,-843090.8900656337,-81004.9966313514,-1270230.1953506635
