"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,354.49727927453966,-1787.1755129061578,26664.3023995739,-1146941.8168999369,-89363.98869798018,-1680309.6103047084
1000.0,172.65912147101193,-607.5412912532892,10237.154210953504,-1143687.763866927,-89931.0863404386,-1682076.1407856636
1500.0,214.83995189258493,355.224487198152,-3419.5793228722555,-1138138.217112278,-89854.93033380473,-1681198.8264618951
2000.0,235.99606955813505,1121.7257014893707,-14382.728483431027,-1133793.994160999,-89805.97361830057,-1680711.3348974243
2500.0,239.3333932503984,1857.2247755975982,-24846.021918003906,-1129521.983847154,-89755.6241602108,-1680123.255256847
3000.0,226.37030857584057,2579.15467697255,-35069.49330030343,-1125199.375506285,-89699.6306247089,-1679377.5064083587
3500.0,197.02666894063643,3296.308939038797,-45188.755294551614,-1120761.0388511252,-89636.02476600836,-1678436.0123233667
4000.0,150.7622747228646,4011.754565572825,-55247.1848826469,-1116173.3593008479,-89563.98895406537,-1677278.6276383821
4500.0,88.89135821406701,4724.26930574421,-65238.212426578,-1111440.9669996444,-89483.77896218527,-1675911.5777828528
5000.0,12.095889815830255,5429.63643899524,-75113.66634358768,-1106597.2109321188,-89396.42051820448,-1674359.5097497967
5500.0,-78.43685838799973,6115.930272730795,-84726.93528038764,-1101714.8366074737,-89304.21218868671,-1672653.6401999423
6000.0,-175.7488538192902,6758.4439391510905,-93773.4433555849,-1096986.699673285,-89212.56571911262,-1670908.4912183292
6500.0,-269.79567403942536,7309.203168077257,-101663.74242071706,-1092773.0072953487,-89131.32217566545,-1669319.8364022789
7000.0,-341.7038477883989,7628.496521349704,-106632.5372574366,-1089976.8247356373,-89088.18649724411,-1668366.948635387
7500.0,-355.5417284971514,7517.417331008828,-105980.23944939423,-1089779.6459939063,-89101.50752701484,-1668378.9575811352
8000.0,-301.5291638462351,7153.746846992346,-102079.7510667387,-1091184.4743010218,-89135.4593906653,-1668851.0015117105
