PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.482226, 20000.000000, 500.000000, 100.000000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-12.323200, 972.493806, 0.001266 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
Fuselage,279.281870, 34.767703, 8.827784,1.067364, Hoerner Streamlined Body,66231979.721944, 0.000000,0.002256, 1.000000,0.672575, 0.006726, 27.356330 
Canopy,62.471652, 13.365225, 3.881585,1.315839, Hoerner Streamlined Body,25460562.894555, 0.000000,0.002597, 1.000000,0.213497, 0.002135, 8.683773 
Wing,329.368591, 5.295097, 0.150041,1.330490, Hoerner,10087083.621097, 0.000000,0.003000, 1.000000,1.314467, 0.013145, 53.464691 
H_Tail,40.672884, 2.709042, 0.099987,1.205970, Hoerner,5160687.312127, 0.000000,0.003347, 1.000000,0.164156, 0.001642, 6.676888 
V-tail,23.380096, 2.795313, 0.100020,1.206045, Hoerner,5325030.546812, 0.000000,0.003329, 1.000000,0.093876, 0.000939, 3.818319 

Excrescences, Type, Input
 EXCRES_0, Count (10000*CD), 0.000000, , , , , , , ,0.000000, 0.000000, 0.000000 

 , , , , , , , , , Geometry Sub-Total:, 2.458570, 0.024586, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 2.458570, 0.024586, 100.000000 
