"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,0.25683014058310194,-2.062932774399533,1.7497211054059147,1119.0148063673773,-5328.980831999525,-11728.223714525826
1000.0,0.28167851458513193,-2.020334550997576,1.7940316410666566,1119.0210886400807,-5328.987798975151,-11728.243950773587
1500.0,0.3772472243799323,-1.1121437535157916,0.8370895646957909,1120.2788879460688,-5329.067153712095,-11728.370365599072
2000.0,0.44195307582632076,-0.2137781547965421,-0.1467362752770038,1121.5653803746286,-5329.155753530238,-11728.498465237295
2500.0,0.4664396081387343,0.6383582982762425,-1.163984788181074,1122.8283450510385,-5329.25576464085,-11728.632383589038
3000.0,0.4698766664025354,1.4906947267268051,-2.191490808143706,1124.0944416277907,-5329.351472112085,-11728.73368626662
3500.0,0.4527600649610369,2.3452897401397346,-3.23074167462312,1125.3644842181877,-5329.442924712911,-11728.80074118642
4000.0,0.4149345428582434,3.200448332169683,-4.278826272305958,1126.636711410601,-5329.528656246147,-11728.830207434143
4500.0,0.3564606251155445,4.052986373860593,-5.330133912752401,1127.9084343169661,-5329.608469188441,-11728.82266504775
5000.0,0.2775061476558582,4.9000684013796345,-6.37993513737125,1129.1763254232594,-5329.6822220210925,-11728.778920113056
5500.0,0.1783878178921808,5.740384376917355,-7.428086532543231,1130.437920942274,-5329.749289014541,-11728.697625696095
6000.0,0.059851600399552826,6.5707721461938835,-8.471250462940418,1131.6889626484983,-5329.809783509472,-11728.579632533707
6500.0,-0.07754087280373899,7.393396217099113,-9.50679684947085,1132.9305921940665,-5329.865619419187,-11728.427991480119
7000.0,-0.23327212873117653,8.208664797899756,-10.539423199186237,1134.1599632419413,-5329.916468834558,-11728.241322292251
7500.0,-0.40667752321814327,9.013081252686991,-11.577284305509108,1135.3705585049177,-5329.960310614546,-11728.016494997273
8000.0,-0.5967789181836965,9.8023730634153,-12.6203608220899,1136.55505361873,-5329.996276596566,-11727.753238012085
8500.0,-0.5999526390802266,9.820822962035777,-12.640114073046737,1136.5816282537005,-5329.997045516931,-11727.747889611328
9000.0,-0.5997151155751628,9.823269896854976,-12.640713324420934,1136.5841508650437,-5329.996440370253,-11727.746094986567
9500.0,-0.8002343412227086,10.571076142829975,-13.65963383472133,1137.7043609680745,-5330.0221474005,-11727.450260226504
10000.0,-0.8043676096484228,10.588595695572197,-13.681011825923997,1137.731276249582,-5330.023427444864,-11727.445607685986
10500.0,-0.8044680340625401,10.590320832910743,-13.682225373415374,1137.7334630209768,-5330.023282707431,-11727.44474460634
11000.0,-0.8043275731343951,10.590749549321686,-13.682066858691003,1137.7338330519976,-5330.023094797396,-11727.444310579685
