"Iteration","Axial Force Monitor 2: Axial Force Monitor 2 (lbf)","Normal Force Monitor 2: Normal Force Monitor 2 (lbf)","Pitch Moment Monitor 2: Pitch Moment Monitor 2 (lbf-ft)","Roll Moment Monitor 2: Roll Moment Monitor 2 (lbf-ft)","Side Force Monitor 2: Side Force Monitor 2 (lbf)","Yaw Moment Monitor 2: Yaw Moment Monitor 2 (lbf-ft)"
500.0,0.4268525938104469,-1.7923093289520824,2.9382357150579894,887.1852739191712,-3859.969960951786,-10200.558997820483
1000.0,0.41571098443492466,-1.8378600615246672,2.953610308620957,887.0727436133544,-3859.900875220713,-10200.318730632123
1500.0,0.4702403281177753,-1.007909916756862,1.729986257635241,888.3619799121598,-3859.8369908224336,-10199.949656205863
2000.0,0.5153621248374101,-0.13971436328387474,0.504597257760911,889.7226834767077,-3859.742962148764,-10199.38665446716
2500.0,0.5408966007408359,0.7439700930950188,-0.7305995255606714,891.1345249826885,-3859.7220738454084,-10199.219631637834
3000.0,0.5465442679471699,1.6372476522429285,-1.9772509260267783,892.5677993266291,-3859.731362715617,-10199.131097211204
3500.0,0.5301733399874029,2.5370442143039567,-3.24025482958192,894.0150046339705,-3859.7488849972783,-10199.049015560442
4000.0,0.49035589549199143,3.4399823675171084,-4.519346577085923,895.4707019410563,-3859.7701855959735,-10198.96124852913
4500.0,0.4274303075192705,4.343465680926876,-5.815919539090222,896.9277220861738,-3859.7894113656325,-10198.840455017795
5000.0,0.3419916775779875,5.24468347782464,-7.124960084349721,898.3817145702996,-3859.804397955331,-10198.679603849518
5500.0,0.2350568258538599,6.141919717721667,-8.44506027393213,899.8297060048798,-3859.8137432196613,-10198.476083219248
6000.0,0.10719458112303262,7.032050240294666,-9.772559112353555,901.2673582493719,-3859.816922592897,-10198.227676725784
6500.0,-0.04103370747677455,7.911253365081815,-11.1021813100129,902.6886273044022,-3859.813471998628,-10197.932494560022
7000.0,-0.20865453116896543,8.778345531781673,-12.425298934466793,904.0904140008514,-3859.8038404635035,-10197.591963190884
7500.0,-0.39460774243834196,9.63011152259379,-13.73602518663051,905.4676616214838,-3859.7886728738463,-10197.211080100278
8000.0,-0.5967139458062645,10.45669812469582,-15.023096960250724,906.8073237184411,-3859.766585462951,-10196.790683220726
8500.0,-0.6016697671083879,10.478848213126565,-15.043869466216421,906.842688046496,-3859.759110951367,-10196.760285359424
9000.0,-0.6022456902314869,10.480643125829603,-15.044637532478133,906.8448731342635,-3859.754751576109,-10196.74350399773
9500.0,-0.8134440684504295,11.24907100830089,-16.26902388193873,908.0956612511197,-3859.7294536875743,-10196.30238706418
10000.0,-0.8187856196784187,11.271844552265305,-16.29170131273376,908.1328560522495,-3859.7240446603814,-10196.277995740127
10500.0,-0.8193776413026346,11.273834540967686,-16.29269851192812,908.1357219677325,-3859.7207445243525,-10196.26541784841
11000.0,-0.8194617515276343,11.273895552471956,-16.29199277195605,908.1356257235793,-3859.718421526047,-10196.256120939148
