xflr5 v6.48

Plane name :        Cy1
Polar name :        T1-143.0 m/s-LLT
Freestream speed : 143.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.473282   0.004930   0.024119   0.029049   0.000000   0.000000   0.182538   0.000000  -0.000000  143.0000     0.0564
   -4.900     0.000  -0.462219   0.004876   0.023671   0.028546   0.000000   0.000000   0.177815   0.000000  -0.000000  143.0000     0.0561
   -4.800     0.000  -0.451634   0.004790   0.023267   0.028057   0.000000   0.000000   0.173300   0.000000   0.000000  143.0000     0.0559
   -4.700     0.000  -0.441355   0.004668   0.022889   0.027556   0.000000   0.000000   0.168871   0.000000   0.000000  143.0000     0.0556
   -4.600     0.000  -0.431274   0.004521   0.022529   0.027051   0.000000   0.000000   0.164494   0.000000   0.000000  143.0000     0.0553
   -4.500     0.000  -0.420930   0.004347   0.022200   0.026547   0.000000   0.000000   0.159865   0.000000   0.000000  143.0000     0.0550
   -4.400     0.000  -0.409174   0.004146   0.021923   0.026069   0.000000   0.000000   0.154270   0.000000  -0.000000  143.0000     0.0544
   -4.300     0.000  -0.397150   0.003936   0.021665   0.025601   0.000000   0.000000   0.148460  -0.000000  -0.000000  143.0000     0.0537
   -4.200     0.000  -0.385274   0.003724   0.021412   0.025136   0.000000   0.000000   0.142721   0.000000   0.000000  143.0000     0.0531
   -4.100     0.000  -0.373196   0.003509   0.021162   0.024672   0.000000   0.000000   0.136834   0.000000   0.000000  143.0000     0.0523
   -4.000     0.000  -0.360918   0.003294   0.020916   0.024211   0.000000   0.000000   0.130810   0.000000   0.000000  143.0000     0.0515
   -3.900     0.000  -0.347279   0.003069   0.020680   0.023749   0.000000   0.000000   0.123913   0.000000  -0.000000  143.0000     0.0504
   -3.800     0.000  -0.331443   0.002838   0.020451   0.023289   0.000000   0.000000   0.115642   0.000000  -0.000000  143.0000     0.0488
   -3.700     0.000  -0.316355   0.002602   0.020233   0.022836   0.000000   0.000000   0.107771   0.000000   0.000000  143.0000     0.0471
   -3.600     0.000  -0.300878   0.002384   0.020011   0.022394   0.000000   0.000000   0.099696   0.000000   0.000000  143.0000     0.0455
   -3.500     0.000  -0.286054   0.002164   0.019798   0.021961   0.000000   0.000000   0.091965   0.000000  -0.000000  143.0000     0.0438
   -3.400     0.000  -0.270834   0.001963   0.019582   0.021546   0.000000   0.000000   0.084041   0.000000   0.000000  143.0000     0.0421
   -3.300     0.000  -0.256678   0.001767   0.019396   0.021163   0.000000   0.000000   0.076731   0.000000  -0.000000  143.0000     0.0394
   -3.200     0.000  -0.242391   0.001593   0.019220   0.020813   0.000000   0.000000   0.069402   0.000000  -0.000000  143.0000     0.0358
   -3.100     0.000  -0.228608   0.001420   0.019050   0.020470   0.000000   0.000000   0.062334   0.000000   0.000000  143.0000     0.0324
   -3.000     0.000  -0.214321   0.001265   0.018874   0.020139   0.000000   0.000000   0.055010   0.000000  -0.000000  143.0000     0.0290
   -2.900     0.000  -0.200553   0.001112   0.018704   0.019816   0.000000   0.000000   0.047956   0.000000  -0.000000  143.0000     0.0259
   -2.800     0.000  -0.186314   0.000975   0.018528   0.019504   0.000000   0.000000   0.040669   0.000000   0.000000  143.0000     0.0232
   -2.700     0.000  -0.172945   0.000844   0.018360   0.019204   0.000000   0.000000   0.033907   0.000000   0.000000  143.0000     0.0280
   -2.600     0.000  -0.159736   0.000725   0.018191   0.018917   0.000000   0.000000   0.027285   0.000000   0.000000  143.0000     0.0384
   -2.500     0.000  -0.146104   0.000620   0.018018   0.018638   0.000000   0.000000   0.020460   0.000000   0.000000  143.0000     0.0487
   -2.400     0.000  -0.132937   0.000519   0.017850   0.018369   0.000000   0.000000   0.013870   0.000000   0.000000  143.0000     0.0587
   -2.300     0.000  -0.119340   0.000431   0.017677   0.018109   0.000000   0.000000   0.007074   0.000000   0.000000  143.0000     0.0685
   -2.200     0.000  -0.106271   0.000348   0.017512   0.017861   0.000000   0.000000   0.000568   0.000000   0.000000  143.0000     0.0768
   -2.100     0.000  -0.093514   0.000279   0.017360   0.017640   0.000000   0.000000  -0.005511   0.000000   0.000000  143.0000     0.0654
   -2.000     0.000  -0.081621   0.000217   0.017225   0.017442   0.000000   0.000000  -0.010997   0.000000  -0.000000  143.0000     0.0415
   -1.900     0.000  -0.069603   0.000163   0.017088   0.017252   0.000000   0.000000  -0.016543   0.000000   0.000000  143.0000     0.0177
   -1.800     0.000  -0.057517   0.000117   0.016951   0.017069   0.000000   0.000000  -0.022120   0.000000  -0.000000  143.0000    -0.0064
   -1.700     0.000  -0.045065   0.000080   0.016812   0.016891   0.000000   0.000000  -0.027870   0.000000   0.000000  143.0000    -0.0307
   -1.600     0.000  -0.032870   0.000048   0.016682   0.016730   0.000000   0.000000  -0.033513   0.000000   0.000000  143.0000    -0.0526
   -1.500     0.000  -0.018209   0.000020   0.016634   0.016655   0.000000   0.000000  -0.040471   0.000000   0.000000  143.0000    -0.0291
   -1.400     0.000  -0.002290   0.000002   0.016616   0.016617   0.000000  -0.000000  -0.048076   0.000000  -0.000000  143.0000     0.0140
   -1.300     0.000   0.012929  -0.000006   0.016598   0.016592   0.000000   0.000000  -0.055342   0.000000   0.000000  143.0000     0.0532
   -1.200     0.000   0.028162  -0.000003   0.016580   0.016577   0.000000  -0.000000  -0.062617   0.000000  -0.000000  143.0000     0.0939
   -1.100     0.000   0.043398   0.000011   0.016562   0.016574   0.000000  -0.000000  -0.069893   0.000000  -0.000000  143.0000     0.1345
   -1.000     0.000   0.059107   0.000034   0.016544   0.016578   0.000000  -0.000000  -0.077397   0.000000   0.000000  143.0000     0.1763
   -0.900     0.000   0.081742   0.000082   0.016510   0.016593   0.000000   0.000000  -0.089842   0.000000  -0.000000  143.0000     0.1841
   -0.800     0.000   0.109680   0.000159   0.016465   0.016624   0.000000  -0.000000  -0.105864   0.000000  -0.000000  143.0000     0.1727
   -0.700     0.000   0.135382   0.000272   0.016423   0.016695   0.000000  -0.000000  -0.120633   0.000000   0.000000  143.0000     0.1616
   -0.600     0.000   0.160866   0.000416   0.016381   0.016797   0.000000  -0.000000  -0.135277   0.000000   0.000000  143.0000     0.1507
   -0.500     0.000   0.186212   0.000589   0.016340   0.016928   0.000000  -0.000000  -0.149843   0.000000  -0.000000  143.0000     0.1398
   -0.400     0.000   0.211514   0.000792   0.016298   0.017090   0.000000  -0.000000  -0.164393   0.000000   0.000000  143.0000     0.1288
   -0.300     0.000   0.236841   0.001024   0.016257   0.017281   0.000000  -0.000000  -0.178961   0.000000   0.000000  143.0000     0.1177
   -0.200     0.000   0.252548   0.001250   0.016197   0.017447   0.000000  -0.000000  -0.187492   0.000000  -0.000000  143.0000     0.1127
   -0.100     0.000   0.264417   0.001442   0.016117   0.017559   0.000000  -0.000000  -0.193445   0.000000  -0.000000  143.0000     0.1107
    0.000     0.000   0.277048   0.001598   0.016021   0.017620   0.000000  -0.000000  -0.199648  -0.000000  -0.000000  143.0000     0.1089
    0.100     0.000   0.288950   0.001768   0.015928   0.017695   0.000000  -0.000000  -0.205435   0.000000  -0.000000  143.0000     0.1073
    0.200     0.000   0.300309   0.001955   0.015837   0.017792   0.000000  -0.000000  -0.210936   0.000000   0.000000  143.0000     0.1058
    0.300     0.000   0.312191   0.002123   0.015737   0.017860   0.000000  -0.000000  -0.216638   0.000000  -0.000000  143.0000     0.1043
    0.400     0.000   0.322878   0.002288   0.015668   0.017956   0.000000  -0.000000  -0.221525   0.000000  -0.000000  143.0000     0.1030
    0.500     0.000   0.332892   0.002451   0.015616   0.018067   0.000000  -0.000000  -0.225949   0.000000   0.000000  143.0000     0.1019
    0.600     0.000   0.342726   0.002615   0.015569   0.018185   0.000000  -0.000000  -0.230242   0.000000  -0.000000  143.0000     0.1009
    0.700     0.000   0.352543   0.002783   0.015524   0.018307   0.000000  -0.000000  -0.234513   0.000000  -0.000000  143.0000     0.0998
    0.800     0.000   0.362068   0.002970   0.015481   0.018451   0.000000   0.000000  -0.238658   0.000000  -0.000000  143.0000     0.0988
    0.900     0.000   0.371769   0.003135   0.015439   0.018574   0.000000  -0.000000  -0.242805   0.000000   0.000000  143.0000     0.0978
    1.000     0.000   0.381019   0.003300   0.015417   0.018718   0.000000  -0.000000  -0.246640   0.000000   0.000000  143.0000     0.0970
    1.100     0.000   0.390166   0.003469   0.015401   0.018870   0.000000  -0.000000  -0.250404   0.000000   0.000000  143.0000     0.0962
    1.200     0.000   0.399252   0.003641   0.015388   0.019029   0.000000  -0.000000  -0.254123   0.000000   0.000000  143.0000     0.0954
    1.300     0.000   0.408327   0.003816   0.015377   0.019193   0.000000  -0.000000  -0.257833   0.000000   0.000000  143.0000     0.0946
    1.400     0.000   0.417404   0.003995   0.015365   0.019360   0.000000  -0.000000  -0.261545   0.000000   0.000000  143.0000     0.0938
    1.500     0.000   0.426660   0.004181   0.015357   0.019538   0.000000  -0.000000  -0.265350   0.000000   0.000000  143.0000     0.0931
    1.600     0.000   0.436027   0.004372   0.015356   0.019728   0.000000  -0.000000  -0.269208   0.000000   0.000000  143.0000     0.0924
    1.700     0.000   0.445432   0.004568   0.015356   0.019923   0.000000  -0.000000  -0.273085   0.000000   0.000000  143.0000     0.0918
    1.800     0.000   0.454834   0.004767   0.015358   0.020125   0.000000  -0.000000  -0.276954   0.000000  -0.000000  143.0000     0.0912
    1.900     0.000   0.464225   0.004971   0.015360   0.020331   0.000000  -0.000000  -0.280816   0.000000  -0.000000  143.0000     0.0905
    2.000     0.000   0.473623   0.005180   0.015364   0.020544   0.000000  -0.000000  -0.284680   0.000000   0.000000  143.0000     0.0899
    2.100     0.000   0.483049   0.005393   0.015379   0.020772   0.000000  -0.000000  -0.288555  -0.000000  -0.000000  143.0000     0.0894
    2.200     0.000   0.492500   0.005612   0.015397   0.021009   0.000000  -0.000000  -0.292442   0.000000   0.000000  143.0000     0.0888
    2.300     0.000   0.501962   0.005835   0.015417   0.021252   0.000000  -0.000000  -0.296334   0.000000   0.000000  143.0000     0.0883
    2.400     0.000   0.511427   0.006063   0.015439   0.021502   0.000000   0.000000  -0.300227   0.000000  -0.000000  143.0000     0.0878
    2.500     0.000   0.520892   0.006295   0.015461   0.021756   0.000000  -0.000000  -0.304121   0.000000   0.000000  143.0000     0.0873
    2.600     0.000   0.530336   0.006531   0.015490   0.022021   0.000000  -0.000000  -0.307995   0.000000  -0.000000  143.0000     0.0868
    2.700     0.000   0.539779   0.006771   0.015525   0.022296   0.000000  -0.000000  -0.311865   0.000000  -0.000000  143.0000     0.0863
    2.800     0.000   0.549223   0.007016   0.015561   0.022577   0.000000  -0.000000  -0.315734   0.000000  -0.000000  143.0000     0.0859
    2.900     0.000   0.558670   0.007265   0.015600   0.022865   0.000000  -0.000000  -0.319603  -0.000000  -0.000000  143.0000     0.0855
    3.000     0.000   0.568116   0.007518   0.015641   0.023159   0.000000  -0.000000  -0.323470   0.000000  -0.000000  143.0000     0.0850
    3.100     0.000   0.577566   0.007776   0.015682   0.023458   0.000000  -0.000000  -0.327340  -0.000000  -0.000000  143.0000     0.0846
    3.200     0.000   0.587391   0.008012   0.015732   0.023744   0.000000  -0.000000  -0.331360   0.000000  -0.000000  143.0000     0.0842
    3.300     0.000   0.596725   0.008286   0.015783   0.024070   0.000000  -0.000000  -0.335170   0.000000   0.000000  143.0000     0.0838
    3.400     0.000   0.606299   0.008549   0.015837   0.024386   0.000000  -0.000000  -0.339081   0.000000  -0.000000  143.0000     0.0835
    3.500     0.000   0.615842   0.008818   0.015892   0.024710   0.000000  -0.000000  -0.342978   0.000000   0.000000  143.0000     0.0831
    3.600     0.000   0.625174   0.009108   0.015948   0.025056   0.000000  -0.000000  -0.346787   0.000000   0.000000  143.0000     0.0828
    3.700     0.000   0.634710   0.009383   0.016011   0.025394   0.000000   0.000000  -0.350673   0.000000  -0.000000  143.0000     0.0824
    3.800     0.000   0.644175   0.009665   0.016080   0.025745   0.000000  -0.000000  -0.354519   0.000000  -0.000000  143.0000     0.0821
    3.900     0.000   0.653415   0.009967   0.016151   0.026118   0.000000  -0.000000  -0.358268   0.000000  -0.000000  143.0000     0.0818
    4.000     0.000   0.662887   0.010254   0.016225   0.026479   0.000000  -0.000000  -0.362113  -0.000000  -0.000000  143.0000     0.0815
    4.100     0.000   0.672324   0.010547   0.016302   0.026849   0.000000  -0.000000  -0.365940   0.000000   0.000000  143.0000     0.0812
    4.200     0.000   0.681523   0.010861   0.016379   0.027240   0.000000  -0.000000  -0.369663   0.000000   0.000000  143.0000     0.0809
    4.300     0.000   0.690714   0.011156   0.016466   0.027622   0.000000  -0.000000  -0.373336   0.000000  -0.000000  143.0000     0.0806
    4.400     0.000   0.699553   0.011470   0.016556   0.028026   0.000000  -0.000000  -0.376839   0.000000  -0.000000  143.0000     0.0803
    4.500     0.000   0.708588   0.011767   0.016649   0.028416   0.000000  -0.000000  -0.380417   0.000000  -0.000000  143.0000     0.0800
    4.600     0.000   0.717384   0.012084   0.016742   0.028826   0.000000  -0.000000  -0.383890   0.000000  -0.000000  143.0000     0.0798
    4.700     0.000   0.726361   0.012386   0.016837   0.029223   0.000000  -0.000000  -0.387431   0.000000  -0.000000  143.0000     0.0795
    4.800     0.000   0.735377   0.012693   0.016931   0.029624   0.000000  -0.000000  -0.390985   0.000000   0.000000  143.0000     0.0792
    4.900     0.000   0.744489   0.013008   0.017021   0.030029   0.000000  -0.000000  -0.394585   0.000000   0.000000  143.0000     0.0790
    5.000     0.000   0.753669   0.013330   0.017107   0.030437   0.000000  -0.000000  -0.398218   0.000000  -0.000000  143.0000     0.0787
    5.100     0.000   0.762837   0.013657   0.017193   0.030850   0.000000  -0.000000  -0.401846   0.000000   0.000000  143.0000     0.0785
    5.200     0.000   0.772036   0.013990   0.017278   0.031268   0.000000  -0.000000  -0.405488   0.000000   0.000000  143.0000     0.0782
    5.300     0.000   0.781263   0.014329   0.017361   0.031690   0.000000  -0.000000  -0.409144   0.000000  -0.000000  143.0000     0.0780
    5.400     0.000   0.790578   0.014674   0.017442   0.032116   0.000000   0.000000  -0.412835   0.000000  -0.000000  143.0000     0.0777
    5.500     0.000   0.799926   0.015024   0.017522   0.032547   0.000000  -0.000000  -0.416535   0.000000  -0.000000  143.0000     0.0775
    5.600     0.000   0.809292   0.015380   0.017603   0.032983   0.000000  -0.000000  -0.420243   0.000000  -0.000000  143.0000     0.0773
    5.700     0.000   0.818662   0.015741   0.017683   0.033424   0.000000  -0.000000  -0.423951   0.000000  -0.000000  143.0000     0.0771
    5.800     0.000   0.828046   0.016107   0.017763   0.033869   0.000000  -0.000000  -0.427665   0.000000  -0.000000  143.0000     0.0768
    5.900     0.000   0.837222   0.016473   0.017844   0.034317   0.000000  -0.000000  -0.431250   0.000000   0.000000  143.0000     0.0766
